f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
I,B,I,I,K,B,I,B,C,K,K,C,E,M,E,C
I,M,B,H,I,H,L,C,B,F,M,L,H,F,D,M
B,M,C,H,I,M,F,D,F,P,M,F,K,F,I,F
B,N,H,L,C,M,M,H,P,M,H,L,I,P,L,F
I,M,B,H,I,M,F,M,H,P,F,M,I,F,I,F
M,A,H,M,I,L,M,C,B,A,B,L,I,F,H,P
K,B,I,I,D,B,L,H,C,N,L,N,D,L,K,F
M,G,F,F,H,P,H,I,F,N,K,F,B,H,B,L
B,L,H,C,C,F,H,B,I,M,H,N,C,F,H,N
K,E,K,D,D,F,C,C,H,C,H,L,D,F,H,P
H,M,M,H,C,B,M,I,B,P,P,P,C,C,K,C
B,M,C,H,I,H,L,I,B,P,F,F,H,L,D,M
D,D,K,D,E,M,P,K,K,M,O,F,D,N,E,F
L,N,M,C,B,F,M,H,H,P,I,F,C,C,C,N
K,C,K,B,E,E,K,H,C,E,E,M,E,F,E,F
K,C,I,B,K,M,A,E,H,M,P,F,E,F,E,F
B,F,C,C,C,P,C,B,H,C,M,C,H,F,B,C
K,C,K,B,D,E,D,H,C,E,E,C,E,F,E,F
I,F,H,C,B,N,I,D,K,F,I,L,I,H,K,F
H,N,C,F,C,M,F,M,I,P,F,F,B,M,H,P
L,O,F,M,M,M,F,B,H,L,C,M,F,H,L,M
H,H,C,M,K,M,M,H,B,M,C,F,I,F,B,F
B,L,B,B,K,N,B,B,H,O,I,F,K,M,C,O
M,J,H,F,B,M,C,B,H,P,C,L,H,M,M,L
H,M,M,C,C,C,M,H,M,M,C,L,B,H,C,H
B,L,H,C,H,M,M,H,L,M,C,F,D,F,M,F
B,H,C,B,K,B,O,I,I,P,N,M,K,P,D,F
B,F,C,M,I,F,C,F,M,C,H,F,I,F,B,F
I,L,H,C,D,M,G,D,C,M,N,F,E,F,E,F
H,M,H,H,K,I,P,K,M,N,N,C,D,N,K,H
B,N,H,F,H,F,F,F,C,M,B,C,K,M,F,F
C,P,B,H,I,M,L,H,H,P,C,L,I,F,C,P
B,M,C,H,B,L,F,K,C,A,H,C,D,P,I,L
C,L,F,M,C,C,L,K,L,N,F,M,I,N,M,M
H,L,M,C,F,F,F,H,K,C,C,L,M,F,C,N
I,F,B,C,K,M,M,E,F,J,C,F,E,F,D,F
K,D,I,D,K,C,M,H,C,M,C,F,H,F,I,F
C,P,L,M,F,L,F,C,C,F,H,M,H,L,C,O
E,E,E,E,E,M,M,B,B,M,C,F,E,F,E,F
B,M,C,C,H,M,C,B,B,C,C,F,M,F,D,F
B,F,H,C,I,M,M,B,B,M,C,M,I,F,B,F
K,I,I,K,D,H,O,K,K,F,P,M,K,N,E,F
H,P,C,M,H,M,M,M,M,C,H,P,D,M,H,N
D,N,E,F,D,M,M,H,I,M,C,F,E,F,E,F
B,C,C,B,B,C,F,K,L,N,M,P,K,L,B,F
B,C,H,B,I,C,F,K,M,P,M,L,I,F,I,M
I,K,B,I,K,M,M,I,L,C,C,F,I,F,C,M
H,H,M,C,M,M,F,B,I,F,F,C,C,N,H,H
I,L,B,M,B,M,M,F,B,M,C,L,I,F,I,F
C,P,L,M,H,M,F,I,P,O,M,C,D,F,C,M
K,I,I,K,D,B,O,I,K,P,N,M,K,N,E,F
D,E,K,E,E,M,B,K,E,M,K,F,K,M,D,F
K,I,I,K,K,F,M,K,H,P,H,M,K,F,I,L
I,K,B,B,I,H,M,B,F,M,C,N,I,F,H,L
D,D,K,D,K,M,M,B,H,M,C,C,D,F,B,L
B,K,H,B,B,F,C,C,B,M,M,F,M,H,K,M
I,P,H,F,B,H,F,M,C,L,F,J,K,L,B,P
M,J,H,F,K,L,M,C,B,A,I,M,I,M,C,N
H,C,M,B,I,L,M,K,M,N,I,M,I,F,I,L
I,H,C,B,I,M,M,K,P,O,C,F,D,F,C,F
B,F,C,M,C,L,L,K,C,M,H,C,K,H,M,M
K,D,I,I,K,M,M,H,M,M,C,L,K,F,H,P
B,M,B,H,B,F,M,M,B,L,H,F,I,F,I,F
I,K,H,I,I,M,C,C,C,C,C,P,K,L,B,L
F,G,M,F,C,P,C,I,H,P,B,M,M,C,F,L
I,I,B,K,K,B,N,I,K,L,L,M,C,N,D,M
B,H,H,B,B,M,M,C,C,M,C,F,I,F,I,F
B,M,C,H,I,C,F,D,F,P,F,L,I,F,I,M
C,P,F,F,M,C,C,C,C,C,H,F,C,M,B,P
I,M,H,C,H,M,C,H,I,M,C,P,H,P,C,N
M,P,H,J,H,M,P,I,I,N,M,M,I,F,J,M
B,L,H,M,M,C,M,I,I,C,H,L,C,F,F,M
C,M,L,C,L,H,L,H,I,C,B,F,A,C,H,F
B,M,H,H,H,F,M,M,B,C,F,F,B,H,C,L
B,C,C,F,C,F,M,M,K,H,C,P,I,F,H,P
H,L,M,M,M,F,M,H,H,L,C,C,I,L,C,L
M,N,P,F,C,C,N,I,C,A,C,I,E,P,I,F
B,M,H,C,C,C,H,B,H,M,H,N,H,P,M,N
H,F,C,C,H,B,N,B,H,N,L,B,E,P,B,M
I,B,H,I,I,F,M,K,C,N,H,M,K,F,B,L
I,C,H,B,I,L,M,B,H,P,B,H,I,F,K,F
I,I,H,D,K,H,M,B,B,P,P,P,C,C,K,F
H,L,H,H,I,P,H,B,C,O,I,F,I,F,M,N
B,F,H,C,H,F,F,B,B,M,H,M,B,F,H,M
K,F,B,H,D,C,N,K,I,L,O,F,D,P,E,F
B,B,C,I,I,M,M,I,C,P,M,F,H,L,B,F
I,P,B,M,I,C,L,N,H,M,H,F,I,F,H,P
I,K,B,B,I,M,F,H,H,C,H,C,I,M,B,F
B,M,C,F,H,F,F,H,C,M,M,M,B,F,L,L
B,C,C,B,B,L,F,B,C,L,I,M,I,C,B,N
B,C,B,F,K,I,A,F,K,N,M,I,D,P,B,F
K,K,I,I,K,C,N,H,B,P,M,K,D,P,B,C
H,N,F,F,B,F,F,H,K,M,F,F,L,L,E,F
K,D,I,K,K,M,M,C,C,M,C,H,K,F,I,M
I,K,B,B,B,M,M,H,C,M,C,C,K,F,C,P
H,N,M,F,N,F,F,C,B,M,C,C,M,F,L,C
K,K,K,I,D,M,F,H,D,M,F,P,K,L,B,F
H,N,B,F,I,M,N,I,B,A,B,B,D,M,H,C
M,G,M,F,F,C,F,I,C,L,C,M,F,H,F,C
B,H,H,F,I,F,M,F,C,H,C,F,I,F,H,L
H,F,M,C,M,M,F,B,C,M,C,L,H,F,H,M
I,F,B,C,I,H,M,C,F,H,C,O,D,M,B,P
K,K,I,I,K,F,M,C,I,C,C,L,K,L,I,P
B,H,H,B,K,B,P,D,F,P,P,H,B,N,B,I
I,B,B,I,K,M,M,I,L,C,C,L,K,F,C,F
H,H,M,F,B,M,F,H,K,M,F,F,L,L,E,F
B,N,H,F,K,F,C,I,M,G,H,L,D,C,D,M
B,F,H,C,B,M,M,F,B,M,C,P,I,F,I,F
D,B,K,I,D,M,M,E,M,A,C,F,E,F,D,F
I,C,H,B,K,P,I,K,K,F,I,P,K,C,K,M
B,H,H,C,H,F,F,C,D,M,C,N,I,L,C,F
K,K,B,I,K,F,M,I,L,C,C,F,K,F,C,F
D,E,K,E,E,F,J,K,B,C,P,F,E,F,E,F
B,F,C,C,C,F,M,H,B,M,F,F,C,F,M,B
K,I,I,K,K,F,M,C,B,L,H,F,K,F,K,F
H,N,M,F,L,F,H,H,K,F,M,F,C,F,H,F
H,M,C,C,C,F,L,B,B,M,B,M,C,F,H,H
L,G,F,L,B,N,K,K,H,P,K,L,I,M,B,O
B,L,B,B,K,F,F,K,B,O,H,C,D,P,H,N
C,F,F,C,H,P,F,B,M,P,D,M,I,C,B,N
K,M,I,H,D,H,M,C,F,C,C,O,D,M,B,L
B,F,C,C,H,M,C,K,C,M,M,L,H,L,M,M
D,E,D,E,E,H,M,M,E,M,C,P,K,F,K,N
C,C,F,L,L,L,N,B,D,H,F,N,C,J,M,A
H,L,C,M,C,C,F,M,H,M,H,M,I,M,M,P
I,M,H,H,I,F,M,K,L,N,H,M,D,M,C,F
H,N,M,F,H,P,B,D,F,P,K,P,E,C,I,P
H,P,M,F,B,P,M,D,F,P,K,C,I,L,B,P
H,M,M,H,B,P,F,B,C,P,D,B,H,L,D,M
K,K,I,I,K,C,O,I,C,F,N,F,K,N,D,M
C,P,F,F,N,M,C,B,H,M,M,F,N,L,M,P
M,F,M,C,I,K,O,B,C,A,N,H,D,N,D,H
B,B,C,I,I,M,C,I,B,P,F,L,L,H,I,L
I,B,B,I,K,B,P,D,M,P,P,C,K,P,I,I
C,P,H,H,B,P,F,B,C,N,I,B,K,L,C,L
H,P,C,F,I,F,F,C,P,H,C,C,E,F,L,M
B,L,C,M,F,M,L,I,H,H,C,F,F,L,F,M
K,C,B,B,I,C,L,B,H,C,L,L,I,L,E,F
B,B,C,I,I,L,M,I,C,P,I,M,I,M,I,L
I,B,H,C,D,F,F,B,I,M,J,F,I,P,E,F
I,L,H,M,I,M,N,K,I,C,N,L,K,P,D,F
D,C,E,F,E,M,M,B,B,M,C,F,E,F,E,F
B,L,B,C,B,F,F,H,F,H,H,C,E,M,L,M
L,A,M,M,I,M,N,H,C,F,P,H,B,N,B,M
B,M,H,F,H,L,L,C,K,B,M,N,I,L,H,P
B,P,C,F,H,F,M,H,L,M,C,F,I,F,C,L
K,I,K,I,K,F,F,H,K,H,M,P,K,L,H,L
H,C,H,F,I,I,J,F,D,N,M,K,E,P,B,F
I,B,B,I,K,M,M,M,M,M,C,H,K,F,I,M
D,I,I,K,D,M,F,K,L,N,C,F,D,F,H,M
H,L,C,M,K,L,N,K,K,C,O,F,D,N,E,F
H,L,M,M,H,C,L,I,L,O,F,C,I,P,F,C
K,K,B,I,K,F,K,D,D,M,K,F,K,M,I,M
D,H,D,B,D,M,M,D,M,M,C,F,E,F,K,F
B,N,C,F,B,N,F,H,K,C,L,F,F,P,E,F
B,P,H,F,B,C,B,B,L,K,K,H,D,C,K,H
H,H,H,M,I,M,F,G,D,M,B,F,I,F,E,F
H,N,F,F,B,P,F,H,K,M,L,F,L,L,E,F
B,K,H,B,I,M,M,I,L,C,C,M,K,F,C,M
B,L,C,C,M,L,B,B,B,L,C,L,B,M,P,L
K,B,B,K,K,M,F,I,C,P,C,F,I,F,K,F
H,N,M,F,C,M,M,K,M,N,M,L,I,F,B,F
K,M,I,H,K,F,M,M,M,M,M,F,K,L,L,F
K,B,I,I,D,B,F,B,C,N,L,N,D,L,I,M
B,C,C,B,B,F,H,M,H,C,H,M,I,F,B,L
M,N,F,F,M,H,H,C,C,C,H,N,B,P,B,L
B,I,B,B,K,M,F,J,E,M,C,F,I,F,E,F
B,N,H,F,C,M,M,H,F,M,C,L,I,F,C,L
B,L,H,M,K,F,M,L,F,M,C,L,I,F,B,F
I,C,B,B,I,M,M,M,B,C,H,M,I,F,I,M
M,O,M,M,B,D,L,K,I,L,N,L,F,P,D,C
B,L,C,C,K,F,B,I,K,M,D,F,I,C,I,F
B,C,H,B,I,H,N,H,H,N,F,I,E,P,B,C
C,P,L,F,B,F,F,D,L,P,B,M,I,L,B,F
H,N,M,F,H,M,B,D,F,F,K,P,E,C,I,F
D,E,D,E,E,C,M,M,H,M,C,C,K,F,I,F
M,G,H,F,I,P,K,K,H,P,D,L,I,M,B,L
B,L,C,M,I,M,L,C,M,C,P,L,I,L,D,F
I,H,B,M,K,L,L,C,P,H,C,H,E,M,L,M
D,I,I,K,D,F,C,I,H,J,C,N,D,M,E,M
F,N,C,C,I,M,P,H,I,O,B,B,H,P,B,F
K,B,I,I,D,B,B,B,M,K,K,C,E,M,D,C
I,C,B,B,I,P,M,I,H,P,I,M,I,M,I,N
C,M,F,H,B,M,L,K,H,P,H,C,H,L,D,M
K,B,I,C,D,O,K,L,B,A,C,A,D,C,E,F
K,D,K,K,D,C,F,M,M,L,M,O,D,P,B,P
C,F,F,M,F,M,P,C,K,M,M,F,C,N,M,F
B,L,H,M,I,C,M,M,F,L,F,P,K,P,B,L
B,F,H,C,B,M,M,O,D,C,C,F,H,F,E,F
K,M,I,H,K,F,F,M,C,F,C,F,K,F,L,F
C,L,F,M,C,H,N,C,H,O,F,H,I,L,K,H
H,L,H,H,I,M,H,I,C,N,C,N,K,M,C,F
H,P,M,F,B,M,M,I,N,O,M,F,K,F,M,M
I,F,H,C,B,M,M,I,F,C,C,F,I,F,C,M
B,P,C,F,M,F,M,H,C,M,C,C,I,F,B,M
B,M,C,C,H,C,B,B,H,C,B,M,I,H,C,C
F,P,L,F,B,I,F,C,F,P,P,L,I,L,K,H
B,B,H,C,I,H,C,P,L,H,H,H,I,F,B,F
D,I,K,D,D,N,I,I,K,P,K,L,D,C,D,F
B,L,H,M,B,F,M,A,D,C,C,F,H,L,E,F
I,F,H,C,D,L,F,B,I,C,J,F,I,L,E,F
M,O,C,M,I,L,M,H,B,O,I,C,H,L,B,F
B,K,B,B,I,F,M,C,P,C,H,L,K,F,C,F
F,J,F,F,B,N,B,I,I,O,C,L,I,P,I,L
I,H,C,B,I,F,M,D,L,P,B,F,K,F,I,F
B,C,H,B,K,N,H,K,M,J,I,F,E,F,E,F
B,H,M,B,I,M,L,I,H,N,C,C,C,F,D,M
H,H,H,F,D,E,E,C,C,E,D,B,E,F,E,F
I,M,B,H,B,M,M,B,M,M,C,F,I,F,H,P
C,N,F,F,F,L,I,M,H,F,F,M,I,P,H,I
N,G,J,F,H,P,H,B,B,J,D,M,C,C,E,M
B,L,C,C,K,P,H,I,D,F,D,L,K,M,K,F
K,D,B,D,D,M,O,I,K,C,N,L,K,N,E,M
I,M,H,H,I,M,F,K,L,N,C,L,D,L,C,F
H,N,H,L,C,F,M,F,I,L,C,M,I,F,I,F
H,L,M,C,B,L,M,I,H,P,B,C,H,F,D,M
B,M,C,H,I,P,P,D,C,K,P,F,D,N,D,L
H,P,C,F,B,M,M,B,B,M,C,F,I,F,B,F
F,P,L,F,C,B,F,H,F,L,F,L,C,L,B,I
B,H,H,B,I,F,M,I,L,C,C,F,K,F,C,L
B,L,C,M,B,M,F,C,H,M,C,C,C,L,K,H
F,A,C,P,H,N,H,K,H,O,B,F,K,L,C,A
I,M,B,H,I,M,M,I,O,F,C,F,E,F,M,F
C,F,F,M,M,F,M,B,C,M,L,C,H,N,B,H
K,D,I,K,K,F,M,I,F,C,C,F,K,F,H,F
C,C,C,B,I,I,L,H,M,P,P,P,I,L,K,C
I,M,H,H,B,M,C,C,H,M,H,L,B,F,I,M
H,L,C,C,I,M,M,F,F,M,C,F,I,F,B,F
H,M,M,H,C,M,M,H,K,M,C,N,H,F,F,F
H,P,C,M,K,B,M,L,K,M,C,O,I,F,I,N
C,L,F,M,B,C,F,H,K,M,F,F,L,L,E,F
H,C,M,B,B,B,M,K,M,P,L,N,I,F,I,C
I,M,B,B,K,M,C,J,D,M,M,F,I,F,E,F
D,L,D,M,K,F,M,E,F,M,C,M,E,F,I,M
M,P,L,F,C,C,L,I,P,O,F,M,D,L,C,C
I,N,B,F,I,F,C,E,M,A,C,L,E,M,K,F
I,M,B,H,K,F,C,I,C,G,H,L,E,M,E,M
H,P,M,F,I,F,M,F,F,M,C,L,I,F,B,F
H,P,H,F,B,D,O,B,B,O,P,M,E,F,K,C
D,I,K,K,D,M,B,D,M,F,K,L,E,M,K,F
K,M,I,B,D,D,A,H,I,O,P,C,E,F,I,M
H,L,M,F,F,H,C,I,I,M,C,F,H,N,P,L
B,F,M,C,H,L,H,K,H,P,K,C,K,C,I,F
K,M,K,H,D,N,I,L,I,A,M,A,D,C,E,F
E,E,E,E,E,M,M,B,B,M,C,F,E,F,E,F
H,P,C,F,B,M,C,M,M,N,C,O,I,P,H,F
B,P,H,M,I,C,F,M,M,A,F,F,K,N,I,M
P,J,L,F,H,C,C,H,H,C,F,L,M,M,B,P
H,M,C,H,B,M,F,M,H,F,C,H,B,L,I,M
I,B,H,K,K,M,N,B,I,O,B,K,D,L,K,L
I,N,B,L,I,L,M,K,M,N,I,M,D,C,K,C
I,H,B,M,I,C,M,L,C,M,C,M,K,F,L,P
K,B,I,I,K,F,M,I,H,L,C,M,K,F,B,L
H,P,B,H,I,M,P,H,H,P,H,L,I,F,C,P
K,I,I,K,D,M,M,M,B,M,C,F,K,F,K,F
C,P,F,F,H,H,F,B,L,O,L,L,I,F,H,C
K,M,I,H,K,H,F,M,F,C,M,J,D,F,B,L
H,N,C,F,F,F,M,B,C,M,C,C,C,F,C,P
H,P,C,M,K,M,B,J,H,M,J,F,I,L,E,F
H,O,H,C,I,C,N,I,H,A,C,B,D,F,H,F
H,L,M,M,C,H,F,I,C,P,L,L,I,F,I,H
H,H,C,I,I,B,F,H,F,P,L,L,I,L,K,C
H,M,F,H,I,M,F,I,H,P,C,M,C,F,D,M
B,N,C,F,K,M,F,B,I,M,J,F,I,L,E,F
K,H,I,I,K,F,O,I,C,C,N,F,K,N,D,F
I,H,H,B,K,F,C,I,M,G,H,P,D,C,D,M
K,B,B,K,K,L,C,B,C,P,B,C,K,F,K,L
H,F,M,C,M,M,F,B,M,F,C,L,H,F,H,C
D,B,K,K,D,M,M,D,M,A,C,F,E,F,D,F
E,D,E,D,E,M,M,B,B,M,C,F,E,F,E,F
H,M,C,C,M,M,F,H,I,M,H,M,F,M,H,M
H,P,C,F,K,B,C,L,K,M,M,N,B,M,I,N
I,M,B,H,H,M,F,C,C,M,H,F,I,F,I,M
C,P,F,M,B,C,N,K,C,J,C,I,D,P,K,M
I,K,B,I,I,F,M,H,C,M,C,C,H,F,H,P
I,P,B,F,I,C,F,E,M,A,M,F,E,F,D,M
K,K,I,I,K,F,M,M,I,C,H,L,K,L,I,L
I,C,B,B,K,H,F,M,M,F,F,J,D,L,B,P
F,P,N,F,L,L,C,K,H,L,B,M,N,L,I,F
I,L,H,M,I,M,M,E,M,A,C,F,E,F,D,F
B,L,C,M,B,M,L,K,L,N,M,C,D,M,C,C
D,C,E,F,E,M,M,B,B,M,C,F,E,F,E,F
K,H,B,I,K,M,M,K,F,N,M,L,K,L,B,F
H,N,M,F,D,F,N,K,K,M,A,F,D,N,E,F
B,L,B,B,K,M,P,K,H,A,H,B,D,F,H,F
K,B,B,H,K,M,B,I,D,M,D,F,K,M,K,F
H,C,C,B,I,B,L,H,M,N,N,L,I,L,K,M
K,D,I,K,K,L,M,C,H,M,C,C,I,F,I,M
K,F,H,C,H,N,C,D,C,L,B,H,D,M,H,F
C,N,F,F,L,C,M,C,M,M,M,P,C,F,B,L
K,B,B,I,K,F,F,K,H,A,B,B,D,P,K,L
D,L,K,C,K,M,M,E,C,M,C,F,E,F,K,F
I,M,B,B,D,M,M,H,B,M,C,F,I,F,B,F
D,D,K,K,D,M,M,N,D,H,C,F,B,F,E,F
K,K,I,I,K,M,F,H,H,M,C,C,H,L,K,H
H,F,H,C,K,K,N,C,B,A,O,F,K,P,D,M
D,E,K,E,E,M,C,N,D,M,M,F,K,F,E,F
H,N,M,L,H,F,M,I,C,P,M,F,K,F,H,F
K,E,I,D,E,M,L,B,K,M,A,F,K,P,E,F
B,L,H,C,H,M,C,P,D,M,F,F,F,B,D,M
B,L,C,C,I,B,A,H,B,A,C,K,E,L,B,M
B,F,B,C,B,C,L,L,M,M,H,M,K,F,L,P
B,L,B,M,B,I,M,H,L,M,M,A,E,F,M,L
K,I,I,K,K,F,M,K,H,N,H,M,K,F,K,L
B,L,C,C,M,P,M,H,B,C,M,M,M,L,H,H
B,M,H,H,H,F,F,K,M,M,C,F,E,L,L,L
H,C,F,B,B,C,M,I,C,P,F,P,I,F,I,M
K,B,B,K,K,L,M,B,C,P,B,H,K,F,I,F
H,F,M,M,M,C,M,I,F,M,C,L,B,C,L,B
I,C,I,B,K,E,K,B,H,D,D,M,E,F,E,F
H,L,B,H,K,M,L,I,H,O,C,H,K,F,C,C
B,M,C,H,F,N,M,I,B,F,B,M,H,H,K,C
B,P,C,M,C,M,C,M,B,M,C,F,I,F,M,P
E,E,D,E,E,C,M,C,B,M,C,F,D,F,H,P
H,F,C,C,C,H,C,I,H,F,C,O,C,L,B,L
K,C,I,B,K,I,F,H,L,M,C,J,E,F,C,L
B,B,H,C,K,F,F,L,F,H,F,P,I,F,B,F
F,N,N,F,C,F,C,K,F,N,B,F,B,F,H,P
H,L,M,F,F,F,F,C,I,M,C,L,F,N,L,N
K,D,K,D,D,F,C,P,E,C,L,F,C,C,E,F
B,M,C,L,M,C,F,H,K,F,M,C,L,O,M,F
H,F,C,C,I,B,F,H,M,N,P,O,K,L,I,M
B,F,H,C,K,F,C,F,F,M,H,O,K,F,H,P
H,L,C,N,M,M,L,B,I,F,P,P,B,P,F,F
M,O,C,C,C,F,M,B,H,L,C,F,C,F,F,F
H,L,F,C,P,M,M,I,K,M,B,F,G,C,I,M
B,L,C,M,M,H,L,I,I,F,M,H,B,F,O,E
I,F,H,C,B,P,M,I,C,P,I,M,I,M,K,P
B,F,B,L,C,M,P,H,I,C,P,N,I,L,C,F
B,M,H,H,K,C,F,M,N,C,C,A,D,M,B,F
B,C,H,B,I,M,N,H,I,O,H,K,D,P,I,F
M,A,C,M,B,P,C,H,C,N,B,F,H,M,H,L
I,H,B,B,I,M,M,C,F,M,C,L,K,F,C,L
I,C,I,B,K,D,A,I,I,O,P,C,E,F,K,M
I,F,H,C,M,F,C,B,I,M,C,M,C,M,F,L
I,B,B,M,K,H,M,N,F,C,H,H,I,F,B,F
M,N,F,F,H,I,L,K,M,L,N,M,K,N,I,H
P,A,P,F,H,P,N,M,B,B,C,L,F,O,I,M
C,P,C,H,I,C,F,B,I,P,F,H,I,P,B,B
K,B,I,I,K,F,M,B,H,L,B,M,K,M,I,P
B,P,H,F,M,C,F,F,H,M,H,M,K,F,M,L
B,L,H,M,I,C,P,L,B,M,H,F,I,F,C,N
K,B,I,I,D,F,K,K,D,M,K,F,K,M,K,M
K,K,I,I,K,F,M,H,L,C,C,M,K,F,M,F
I,K,B,B,I,C,L,B,H,L,M,B,B,P,I,M
D,E,D,E,E,C,L,M,I,M,H,F,K,M,I,P
K,B,I,K,K,F,M,C,B,L,C,F,K,F,K,F
I,H,I,B,K,M,L,H,B,M,C,M,H,F,K,M
I,B,B,K,K,H,M,B,M,M,C,N,I,F,B,L
B,L,C,M,B,P,I,K,K,F,K,P,B,B,I,F
I,H,B,F,K,F,M,L,H,C,M,L,I,F,H,L
D,E,K,D,E,M,J,D,B,M,P,F,E,F,E,F
H,F,C,C,C,P,C,H,C,L,I,C,I,F,I,F
M,O,H,C,B,M,C,B,I,L,F,N,B,L,F,N
K,D,I,K,D,M,F,C,M,M,P,F,I,L,D,F
B,L,C,M,B,L,C,H,M,L,I,C,I,F,I,F
D,K,D,I,D,M,M,D,M,M,C,L,E,F,I,F
C,N,L,F,H,M,M,D,L,P,C,F,I,F,B,M
K,B,B,I,K,M,F,K,F,N,M,L,K,F,B,F
I,B,H,K,I,L,C,I,B,L,B,C,F,C,K,F
K,I,B,B,D,F,F,B,K,C,A,F,I,P,E,F
K,B,B,I,K,L,K,K,D,F,K,L,K,M,K,F
D,I,I,K,D,F,C,I,C,J,C,P,E,M,E,F
K,H,I,I,K,C,M,H,H,P,M,P,K,L,B,L
C,P,M,F,B,M,M,A,K,M,L,F,L,C,E,F
